author,birth_date,birth_country,death_date,genres,influenced,influenced_by,properly_processed
Scott M. Rosenberg,,,,,,,False
Fred Van Lente,,,,,,,True
Scott Mitchell Rosenberg,,United States,,,,,True
K. Bromberg,,,,,,,False
Chrissy Teigen,1985-11-30,,,,,,True
Adeena Sussman,,,,,,,False
Stephen Ambrose,,,,,,,False
Gabrielle Charbonnet,,,,,,,False
Francis Chan,1967-08-31,United States,,,,,True
Danae Yankoski,,,,,,,False
Marty Noble,,,,,,,False
Marjorie Sarnat,,,,,,,False
Aaron Reynolds,,,,,,,False
Katherine Applegate,,,,,,,False
James Lee Burke,,,,,,,False
Becca Fitzpatrick,1979-02-03,,,Fantasy; Romance_novel; Young_adult_fiction,,,True
Emily Oster,1980-02-14,,,,,,True
Glenn Simpson,1987-05-05,Australia,,,,,True
Peter Fritsch,,,,,,,False
Jesse Kellerman,,,,,,,False
David Limbaugh,1952-12-11,United States,,,,,True
Ayano Yamane,,,,,,,False
Donald J. Trump,,,,,,,True
Gary J. Byrne,,,,,,,False
Grant M. Schmidt,,,,,,,False
Gerry Conway,1947-09-11,Norfolk,,British_folk_rock; Folk_music,,,True
Leigh Bardugo,1975-04-06,Israel,,Fantasy_literature; Young_adult_fiction,,,True
Wm Paul Young,,,,,,,False
Ally Condie,1978-11-02,,,Children's_literature; Utopian_and_dystopian_fiction; Young_adult_fiction,,,True
Dick Francis,1920-10-31,United Kingdom,2010-02-14,Crime_fiction,,,True
Felix Francis,,,,,,,True
Naomi Novik,1973-04-30,United States,,,,,True
Rosamund Hodge,,,,,,,False
Victoria Aveyard,1990-07-27,United States,,Fantasy; Young_adult_fiction,,,True
Diane Mott Davidson,,,,,,,False
T. D. Jakes,1957-06-09,United States,,,,,True
Joe Peters,1983-11-25,,,,,,True
Karen Tack,,,,,,,False
Alan Richardson,1948-11-04,United Kingdom,,,,,True
Janet Evanovich,1943-04-22,United States,,Mystery_fiction; Romance_novel,,,True
Phoef Sutton,,,,,,,False
Carol Higgins Clark,1956-07-28,United States,,Mystery_fiction,,,True
Gail Carriger,1976-05-04,United States,,Mystery_fiction; Paranormal_romance; Science_fiction; Steampunk; Urban_fantasy,,,True
Anthony Flynn,,,,,,,False
Emily Flynn Vencat,,,,,,,False
Abraham Verghese,1955-05-30,Ethiopia,,Autobiography; Medical_handbook,,,True
Richard A. Clarke,,,,,,,False
Robert Knake,,,,,,,False
Juliet Macur,,,,,,,True
Jeff Kinney,,,,,,,True
Armie Hammer,1986-08-28,,,,,,True
Sasha O'Hara,,,,,,,False
Jeremy York,,,,,,,False
Brighter Child,,,,,,,False
Isabel Wilkerson,,,,History; Journalism,,,True
Robin Miles,,,,,,,True
Suzanne Collins,1978-05-25,England,,,,,True
Tatiana Maslany,1985-09-22,,,,,,True
Sonya Renee Taylor,,,,,,,True
Bianca I. Laureano,,,,,,,False
Margarita Alcantara,,,,,,,False
Leslie Howard,1948-04-29,Australia,,Classical_music,,,True
Daniele Bott,,,,,,,False
E. B. White,1899-07-11,United States,1985-10-01,,,,True
Garth Williams,1912-04-16,,1996-05-08,,,,True
John Archambault,,,,,,,True
Bahni Turpin,,,,,,,False
Tess Gerritsen,1953-06-12,United States,,Mystery_fiction,,,True
Gary Braver,,,,,,,False
Kirsten Potter,,,,,,,False
C. S. Lewis,1898-11-29,Northern Ireland,1963-11-22,Christian_apologetics,,,True
Heather Morris,1987-02-01,United States,,,,,True
Louise Brealey,1979-03-27,Northamptonshire,,,,,True
Perdita Weeks,1985-12-25,United Kingdom,,,,,True
Mae Whitman,1988-06-09,,,,,,True
Sam Heughan,1980-04-30,Scotland,,,,,True
Graham McTavish,1961-01-04,United Kingdom,,,,,True
Hodder,,,,,,,False
David Walliams,1971-08-20,United Kingdom,,,,,True
Melody Beattie,,,,,,,False
Karl Marx,1818-05-05,German Confederation,1883-03-14,,,,True
Friedrich Engels,1820-11-28,Kingdom of Prussia,1895-08-05,,,,True
Matthew FitzSimmons,,,,,,,False
Sally Rooney,1991-02-20,Republic of Ireland,,,,,True
Don Freeman,,,,,,,False
Moriah Elizabeth,,,,,,,False
Valentina Harper,,,,,,,False
Roger Clark,1908-03-16,,1978-10-13,,,,True
Jay Snyder,,,,,,,False
Elizabeth Evans,,,,,,,False
Fred Berman,,,,,,,False
Brandon Rubin,,,,,,,False
Kevin T. Collins,,,,,,,False
Lauren Fortgang,,,,,,,False
Peter Ganim,,,,,,,False
Melinda Leigh,,,,,,,False
Christina Traister,,,,,,,False
Karen Frazier,,,,,,,False
Katsura Hoshino,,,,,,,False
Soosh,,,,,,,False
Jim Gaffigan,1966-07-07,,,Clean_comedy; Deadpan; Observational_comedy; Sarcasm; Satire,,,True
Taylor Jenkins Reid,1983-12-20,United States,,,,,True
Cathy Glass,,,,Inspirational_fiction,,,True
H. M. Ward,,,,,,,False
Joel C. Rosenberg,1967-04-17,,,Bible_prophecy; Middle_East; Political_thriller,,,True
Dan Howell,,United States,,,,,True
Phil Lester,1987-01-30,,,,,,True
Nozomu Tamaki,,,,,,,False
Billy Idol,,,,,,,True
Diana Palmer,,,,,,,False
Milo Yiannopoulos,1984-10-18,United Kingdom,,,,,True
Gardner Dozois,1947-07-23,United States,2018-05-27,Anthologies; Science_fiction_magazine,,,True
Dan Middleton,,,,,,,False
Doreen Mulryan,,,,,,,False
Mike Love,,,,,,,True
Klaus Janson,,,,,,,False
Paolo Rivera,,,,,,,False
Pierce Brown,1988-01-28,,,,,,True
Joyce Sidman,,,,,,,False
Gwynn White,,,,,,,False
Blake Crouch,1978-10-15,,,Mystery_fiction; Science_fiction; Thriller_(genre),,,True
Jane Mayer,,United States,,,,,True
Gillian Flynn,1971-02-24,United States,,Fiction; Mystery_fiction; Thriller_(genre),,,True
Kresley Cole,,,,Children's_literature; Fantasy; Historical_fiction; Paranormal; Romance_novel; Young_adult_fiction,,,True
Robin Furth,1965-06-11,United States of America,,,,,True
Richard Isanove,,,,,,,False
L. J. Smith,,,,,,,True
E. L. James,,,,,,,False
Lara Adrian,,,,,,,False
Alexandra Bracken,,,,Fantasy,,,True
Kelley Armstrong,,,,,,,True
Drew Karpyshyn,1971-07-28,,,,,,True
Tom Angleberger,,,,,,,True
Jeffrey Brown,1968-02-16,,,,,,True
Lori Foster,,,,Romance_novel; Suspense; Urban_fantasy,,,True
Bruce Schneier,1963-01-15,United States,,,,,True
Christian Rudder,1975-09-01,,,,,,True
Laban Carrick Hill,,,,,,,False
Rei Toma,,,,,,,False
Anita Diamant,,,,,,,False
Laini Taylor,1971-12-11,,,Young_adult_fiction,,,True
Jude Deveraux,1947-09-20,,,Historical; Mystery_fiction; Paranormal; Romance_novel,,,True
Bryan Burrough,1961-08-13,United States,,,,,True
Fabio Moon,,,,,,,False
Gabriel Ba,,,,,,,False
Derek Fridolfs,,,,,,,False
Shea Fontana,,,,,,,False
Yancy Labat,,,,,,,False
Jack Gantos,,,,,,,True
Donnie Eichar,,,,,,,True
Grant Blackwood,1964-06-07,,,Thriller_(book),,,True
Christopher Shy,,,,,,,False
Ian Edginton,,,,,,,False
Erik Larson,,,,,,,True
Stephen Hunter,1946-03-25,United States,,Thriller_(genre),,,True
Linda Fairstein,1947-05-05,United States,,,,,True
Sandra Brown,,Surrey,,,,,True
Richard Castle,,,,,,,True
Jinsei Katoka,,,,,,,False
Kazuma Kondou,,,,,,,False
Jinsei Kataoka,,,,,,,False
Daniel Way,,,,,,,False
Cullen Bunn,,,,,,,False
Dalibor Talajic,,,,,,,False
Paco Medina,,,,,,,False
Bill Kreutzmann,1946-05-07,,,Jam_band; Jazz_music; Psychedelic_music; Rock_music,,,True
Benjy Eisen,,,,,,,False
Henry M. Paulson Jr,,,,,,,False
Jerry Lewis,1934-10-21,United States,2021-07-15,,,,True
James Kaplan,,,,,,,False
Paris Rosenthal,,,,,,,False
Jason Rosenthal,,,,,,,False
Dyan Cannon,1937-01-04,,,,,,True
Val Emmich,,United States,,Rock_music,,,True
Steven Levenson,,,,,,,True
Benj Pasek,,,,,,,True
Justin Paul,1985-01-03,United States,,,,,True
Amy Krouse Rosenthal,1965-04-29,,2017-03-13,,,,True
Nicholas Sparks,1965-12-31,United States,,Romantic_drama_film; Romantic_fiction,,,True
Alice Munro,1931-07-10,,,Realism_(arts); Short_stories; Southern_Ontario_Gothic,,,True
Jennifer Palmieri,,,,,,,False
Nic Stone,,,,,,,False
Mary-Louise Parker,1964-08-02,United States,,,,,True
Pope Francis,,,,,,,True
P. D. James,,,,,,,False
Charles Soule,,United States,,,,,True
M. C. Beaton,,,,,,,False
Nancy Grace,1959-10-23,,,,,,True
Joe Schreiber,,,,,,,True
Cixin Liu,,,,,,,False
Terry Goodkind,1948-01-11,United States,2020-09-17,Epic_fantasy; Sword_and_sorcery,,,True
Toni L. P. Kelner,,,,,,,False
David Bach,,,,,,,True
Paul S. Kemp,,,,,,,True
Steve McClatchy,,,,,,,False
Chip Heath,,,,,,,True
Dan Heath,,,,,,,True
Jay-Z,,,,,,,True
Leerom Segal,1979-04-19,Israel,,,,,True
Kylie Scott,,,,,,,False
Fran Krause,,,,,,,False
Héctor Tobar,,United States,,,,,True
Vivian Howard,,,,,,,True
Paul Theroux,1941-04-10,United States,,,,,True
William Landay,1963-07-23,United States,,,,,True
Ruth Reichl,,,,,,,True
Elisabeth Hasselbeck,,,,,,,True
Lauren Oliver,1982-11-08,United States,,Dystopia; Romance_novel; Science_fiction; Young_adult_fiction,,,True
Jill Thompson,,,,,,,False
Tony Hsieh,1973-12-12,,2020-11-27,,,,True
Condoleezza Rice,1954-11-14,United States,,,,,True
Amy Goodman,1957-04-13,,,,,,True
David Goodman,1967-02-13,,,,,,True
Denis Moynihan,,,,,,,False
Rachel Hawkins,1992-01-31,United Kingdom,,,,,True
Kyousuke Motomi,,,,,,,False
H. R. McMaster,,,,,,,True
Rico Green,,,,,,,False
Tim Johnston,1990-10-28,New Zealand,,,,,True
Bill Burnett,,South Africa,1994-08-23,,,,True
Dave Evans,1950-07-24,,2017-06-25,Bluegrass_music,,,True
Jon Meacham,1969-05-20,,,,,,True
Candice Millard,1967-06-16,,,,,,True
Tony S. Daniel,,,,,,,False
Ed Benes,,,,,,,False
Jason Fabok,,,,,,,False
Gilbert King,,,,,,,False
Sebastian Faulks,1953-04-20,United Kingdom,,,,,True
Joshua Green,1869-10-16,United States,1975-01-24,,,,True
Sharon Kay Penman,,,,,,,False
Joanna Wylde,,,,,,,False
Graham Brown,1950-11-05,,,,,,True
Jeff Lindsay,1952-07-14,United States,,Mystery_fiction,,,True
China Mieville,,,,,,,False
Mateus Santolouco,,,,,,,False
Joan Rivers,1933-06-08,United States,2014-09-04,Black_comedy; Blue_comedy; Improvisational_comedy; Insult_comedy; Observational_comedy; Shock_humour,,,True
Fred Perry,,,,,,,True
David Hutchinson,,,,,,,True
Bill Clegg,,,,,,,False
Cal Newport,1982-06-23,,,,,,True
Guy Fieri,1968-01-22,,,,,,True
Ann Volkwein,,,,,,,False
Marc Sedaka,,,,,,,False
Steve Coll,1958-10-08,,,,,,True
Jeremy Scahill,1974-10-18,United States,,,,,True
Jocko Willink,,,,,,,True
Josh Linkner,1970-07-28,,,,,,True
Wayne Scott Andersen,,,,,,,False
Jo Casey,,,,,,,False
Laura Gilbert,,,,,,,False
Dan Lyons,,,,,,,True
Jonathan Lethem,1964-02-19,United States,,,,,True
Zhi Gang Sha,,,,,,,False
Catherine Rodgers,,,,,,,False
Brian Wood,1972-01-29,,,,,,True
Riccardo Burchielli,,,,,,,True
Henry Marsh,1950-03-05,,,,,,True
Tracey Stewart,,,,,,,False
Jack Olsen,1925-06-07,,2002-07-16,,,,True
James Newman Gray,,,,,,,False
Lee Teng Chew,,,,,,,False
Jan Smith,1945-04-20,,2022-01-18,,,,True
Terry Pratchett,1948-04-28,United Kingdom,2015-03-12,,,,True
Steven Tyler,,,,,,,True
David Dalton,,,,,,,False
Steven Butler,,,,,,,False
Julie Barton,,,,,,,False
BarkPost,,,,,,,False
Ken Foster,,,,,,,False
Shirow Miwa,,,,,,,True
Preet Bharara,1968-10-13,India,,,,,True
Bruce Piasecki,,,,,,,True
the editors of domino,,,,,,,False
Louis Zamperini,1917-01-26,,2014-07-02,,,,True
David Rensin,,,,,,,False
Matt Kibbe,,,,,,,True
Chelsea Clinton,1980-02-27,,,,,,True
Ann Rule,1931-10-22,,2015-07-26,,,,True
Barbara Freethy,,,,Contemporary_romance; Romantic_suspense; Women's_fiction,,,True
Kian Lawley,1995-09-02,,,,,,True
Jc Caylen,1992-09-11,,,,,,True
William Stephenson,,,,,,,True
Richard Dunlop,,,,,,,False
Howard Roughan,,,,,,,False
Beth Macy,,,,,,,True
Rachel Renée Russell,1959-04-13,,,,,,True
Danielle Paige,,,,,,,False
Randi Zuckerberg,1982-02-28,United States,,,,,True
Jessica Seinfeld,1971-09-12,United States,,,,,True
Mark Halperin,1965-01-11,,,,,,True
John Heilemann,1966-01-23,,,,,,True
Yoshiki Tonogai,,,,,,,True
Leslie Mosier,,,,,,,False
Holly Madison,1979-12-23,,,,,,True
Seuss,,,,,,,False
Emma Rios,,,,,,,False
Yoon Ha Lee,1979-01-26,,,Fantasy; Poetry; Science_fiction; Speculative_fiction,,,True
Michael Crichton,1942-10-23,United States,2008-11-04,Action_(fiction); Adventure_fiction; Science_fiction; Techno-thriller,,,True
Shiki Mizuchi,,,,,,,False
Ran,,,,,,,True
Adam Rubin,,,,,,,True
Daniel Salmieri,,,,,,,False
Margaret Weis,,,,,,,True
Tracy Hickman,,,,,,,True
Tsuyoshi Watanabe,,,,,,,True
Raina Telgemeier,,,,,,,False
Justina Ireland,1985-02-07,United States,,Science_fiction; Young_adult_fiction,,,True
Kristi Yamaguchi,,,,,,,False
Vince M. Bertram,,,,,,,False
Laurie R. King,,,,,,,False
Benjamin Dreyer,,,,,,,False
Brandi Glanville,1972-11-16,,,,,,True
Leslie Bruce,,,,,,,False
Daniel H. Pink,1964-07-23,,,,,,True
Dan Simmons,1948-04-04,United States,,Fantasy; Horror_fiction; Science_fiction,,,True
A. J. Jacobs,1968-03-20,,,,,,True
Augusten X. Burroughs,,,,,,,False
Willie,,,,,,,True
Korie Robertson,,,,,,,False
Mark Schlabach,,,,,,,False
Paul Collins,1969-01-12,United States,,,,,True
Julie Murphy,,,,,,,False
John Lithgow,1945-10-19,,,,,,True
Joshua Levine,,,,,,,False
Ryohgo Narita,,,,,,,False
Akiyo Satorigi,,,,,,,False
Anita Moorjani,1959-03-16,Singapore,,,,,True
Share The Love Gifts,,,,,,,False
Jennifer Beals,1963-12-19,United States,,,,,True
Benjamin Bratt,1963-12-16,United States,,,,,True
Judy Greer,1975-07-20,United States,,,,,True
Pablo Schreiber,1978-04-26,Canada,,,,,True
B. Brown,,,,,,,False
Brené Brown,,,,,,,False
Jon Lindstrom,1957-10-18,United States,,,,,True
Rebecca Lowman,,,,,,,False
Cassandra Campbell,,,,,,,False
Mark Deakins,,,,,,,False
Robertson Dean,,,,,,,False
Christine Lakin,1979-01-24,United States,,,,,True
Titus Welliver,1962-03-12,,,,,,True
Zachary Webber,,,,,,,False
James McBride,1788-11-02,United States,1859-10-03,,,,True
Dominic Hoffman,1962-10-30,,,,,,True
Brad Sanders,,,,,,,False
Rod Campbell,,,,,,,False
Jeff Bottoms,,,,,,,False
K. A. Knight,,,,,,,False
Cornell Collins,,,,,,,False
Hollie Jackson,,,,,,,False
Lilt Kids Coloring Books,,,,,,,False
American Psychiatric Association,,,,,,,True
The Committee on Nomenclature,,,,,,,False
Statistics of the American Psychiatric Association,,,,,,,False
Zack Zombie,,,,,,,False
Ramon De Ocampo,,,,,,,False
Johnathan McClain,,,,,,,True
M. Prefontaine,,,,,,,False
Michael Cohen,,,,,,,True
Thomas Kinkade,,,,,,,True
Will Patton,,,,,,,False
T. R. Ragan,,,,,,,False
Dr. Seuss,,,,,,,False
Bram Stoker,1847-11-08,Republic of Ireland,1912-04-20,Gothic_fiction; Romance_novel,,,True
Jonathan Barnes,,,,,,,True
Mark Gatiss,1966-10-17,United Kingdom,,,,,True
Joseph Kloska,,,,,,,True
Deirdre Mullins,,Ireland,,,,,True
Nigel Betts,,,,,,,True
Rupert Young,1978-05-16,United Kingdom,,,,,True
Katy Manning,1946-10-14,United Kingdom,,,,,True
Alex Jordan,,,,,,,False
Frank Herbert,1920-10-08,,1986-02-11,Science_fiction,,,True
Orlagh Cassidy,1968-08-17,,,,,,True
Euan Morton,1977-08-13,United Kingdom,,,,,True
Simon Vance,1955-12-16,England,,,,,True
Byron Jennings,,,,,,,False
David R. Gordon,,,,,,,False
Jason Culp,,,,,,,False
Kent Broadhurst,,,,,,,False
Oliver Wyman,,,,,,,True
Patricia Kilgarriff,,,,,,,False
Scott Sowers,,,,,,,False
Wizards RPG Team,,,,,,,False
Pam Grout,,,,,,,False
Jane Smiley,1949-09-26,United States,,,,,True
Tom Coughlin,1949-06-06,,2016-04-01,,,,True
Jon Stewart,,,,,,,True
Nicola Scott,,,,,,,False
Orson Scott Card,1951-08-24,,,Fantasy_literature; Historical_fiction; Horror_fiction; LDS_fiction; Science_fiction; Thriller_(genre),,,True
Aaron Johnston,,,,,,,True
Nick Dragotta,,,,,,,False
Mark Hyman,1959-11-22,,,,,,True
Joel Fuhrman,1953-12-02,United States,,,,,True
David Quammen,1948-02-24,,,,,,True
Richard North Patterson,,,,,,,False
Michael Goodwin,1939-04-28,,2011-05-04,,,,True
Dan E. Burr,,,,,,,False
Tara Westover,,,,,,,False
Cece Bell,1970-12-26,United States,,Children's_literature,,,True
John Cena,,,,Gqom,,,True
Tim Dorsey,,,,,,,False
Erin Gates,,,,,,,False
Vicki Constantine Croke,,,,,,,False
Phil Jackson,,,,,,,True
Hugh Delehanty,,,,,,,False
Mercedes Lackey,1950-06-24,United States,,Fantasy,,,True
Stefany Shaheen,,,,,,,False
Ashlee Vance,,South Africa,,,,,True
Ginger Alden,,,,,,,False
Brian Buffini,,,,,,,False
Alexander McCall Smith,1948-08-24,Southern Rhodesia,,Children's_books; Crime_fiction,,,True
Sven Beckert,,,,,,,False
J. D. Dickey,,,,,,,False
S. C. Gwynne,,,,,,,True
Adam Warren,1987-08-25,United States,,,,,True
Bill Dedman,,,,,,,True
Paul Clark Newell Jr,,,,,,,False
Johanna Basford,,,,,,,True
Guy Kawasaki,,,,,,,False
Dale Bredesen,,,,,,,False
Scott Kelly,1967-07-16,United States,,Experimental_music; Folk_music; Hardcore_punk; Heavy_metal_music,,,True
Alex Hutchinson,,,,,,,True
John U. Bacon,,,,,,,False
Kyle Mills,,,,,,,True
Gregg Lederman,,,,,,,False
Steven Pinker,,,,,,,True
Dave Ramsey,1960-09-03,,,,,,True
Alison Goodman,1966-08-12,,,,,,True
Preston Sprinkle,,,,,,,False
Carolyn Jessop,1968-01-01,,,,,,True
Blaine Harden,,,,,,,False
Chris Grabenstein,,,,Children's_literature; Mystery_fiction,,,True
the staff of Althea Press,,,,,,,False
Steve Jenkins,,,,,,,True
Derek Walter,,,,,,,False
Caprice Crane,1970-11-01,,,,,,True
Anne Bishop,,,,,,,True
Regina Calcaterra,,,,,,,False
Cynthia Leitich Smith,,,,Children's_literature; Young_adult_fiction,,,True
Eva Longoria,,,,,,,True
Marah Stets,,,,,,,False
Ian Rankin,,,,,,,True
Claudia Gray,,,,,,,True
Stuart Scott,,,,,,,True
Larry Platt,1947-08-27,,,,,,True
John Kerry,1943-12-11,United States,,,,,True
Olivia De Havilland,,,,,,,False
Tamara Ireland Stone,,,,,,,False
Bob Brown,1923-11-12,,2016-07-28,,,,True
Nick Chiles,1965-08-07,United States,,,,,True
John Kasich,,,,,,,True
Shel Silverstein,1930-09-25,,1999-05-10,Dark_comedy,,,True
Bob Goff,1959-02-22,United States,,,,,True
Stephanie Clifford,,,,,,,False
Richard Russo,1949-07-15,,,,,,True
Robin Roberts,1960-11-23,United States,,,,,True
Veronica Chambers,,,,,,,True
Chris Cleave,1973-05-14,United Kingdom,,,,,True
Bobbi Brown,1957-04-14,United States,,,,,True
Kate Bowler,1980-06-16,,,,,,True
Diane Muldrow,,,,,,,False
Celeste Ng,1980-07-30,,,,,,True
Mark Manson,1984-03-09,,,,,,True
Marie Forleo,1975-12-07,,,,,,True
Jimmy Fallon,,,,,,,True
Brad Stone,,,,,,,True
Rick Wilson,1963-11-21,United States,,,,,True
Andrea A. Lunsford,,,,,,,True
John J. Ruszkiewicz,,,,,,,False
Keith Walters,,,,,,,False
Nicola Yoon,,,,,,,True
Matthew Desmond,,,2022-11-30,,,,True
Chelsea Cain,1972-02-05,,,,,,True
Paul Holes,1968-03-15,United States,,,,,True
Jim Clemente,,,,,,,False
Peter McDonnell,1953-06-11,Cumbria,,,,,True
Linda Holmes,1959-03-16,,,,,,True
Brian K. Vaughan,1976-07-17,,,Fantasy; Space_opera,,,True
Tony Harris,1967-05-13,United States,,,,,True
Rikdo Koshi,,,,,,,False
Dick Cheney,1941-01-30,,,,,,True
Liz Cheney,1966-07-28,United States,,,,,True
Mohsin Hamid,1971-07-23,Pakistan,,Literary_fiction,,,True
Jane Velez-Mitchell,,United States,,,,,True
Kyra Davis,,,,Chick_lit,,,True
Mario Lopez,1955-06-04,Philippines,,,,,True
Jimmy Peña,,,,,,,False
Mac Barnett,,United States,,Children's_books,,,True
Leif Babin,,,,,,,False
Jonathan Safran Foer,1977-02-21,,,,,,True
Chase Conley,,,,,,,False
Andie Tong,,,,,,,False
David Hodgson,1798-06-13,United Kingdom,1864-04-22,,,,True
Gail Honeyman,,,,,,,False
Cathleen McCarron,,United Kingdom,,,,,True
Fred Sanders,,,,,,,False
Imani Parks,,,,,,,False
Josh Bloomberg,,,,,,,False
Brian Holden,,,,,,,False
Soneela Nankani,,,,,,,False
Alexander Cendese,,,,,,,False
Travis Bradberry,,,,,,,False
David Drummond,,,,,,,True
Stefan Rudnicki,,,,,,,False
Harlan Ellison,1934-05-27,United States,2018-06-28,Crime_fiction; Criticism; Fantasy; Horror_fiction; Mystery_(fiction); Science_fiction; Speculative_fiction,,,True
Gabrielle de Cuir,,,,,,,False
Sean Cameron Michael,1969-12-24,South Africa,,,,,True
Vanessa Johansson,,,,,,,False
A. R. Torre,,,,,,,False
Carly Robins,,,,,,,False
Amy Landon,,,,,,,False
Tristan James,,,,,,,False
Brigit Esselmont,,,,,,,False
Workman Publishing,,,,,,,False
Richard Benson,1955-03-10,Surrey,2022-05-10,Blues_rock; Hard_rock; Heavy_metal_music; Progressive_rock,,,True
Michael I. Bennett,,,,,,,False
Sarah Bennett,,,,,,,False
Mark Buckingham,1964-11-10,United Kingdom,,,,,True
Matthew Sturges,,,,,,,False
Tony Akins,1977-05-10,,,,,,True
Lisa Eldridge,,,,,,,False
Paul Stanley,1983-08-22,England national rugby union team,,,,,True
Hans Rosling,1948-07-27,Sweden,2017-02-07,,,,True
Ola Rosling,,,,,,,False
Anna Rosling Ronnlund,,,,,,,False
James R. Clapper,,,,,,,False
Trey Brown,,,,,,,True
Sean E. Williams,,,,,,,False
Stephen Sadowski,,,,,,,False
Phil Jimenez,,,,,,,False
Lauren Beukes,1976-06-05,South Africa,,Literary_fiction; Urban_fantasy; Utopian_and_dystopian_fiction,,,True
Inaki Miranda,,,,,,,False
Russ Braun,,,,,,,False
Hiro Mashima,1977-05-03,Japan,,,,,True
Chris Duffy,1965-07-07,,2000-08-25,,,,True
RoseMarie Terenzio,,,,,,,False
Melanie Dickerson,,,,,,,False
Alice Hoffman,1952-03-16,United States,,Fantasy; Historical_fiction; Magic_realism,,,True
Lauren Kate,,,,,,,False
John Edward,1969-10-19,,,,,,True
J. S. Cooper,,,,,,,False
Peyton Manning,,,,,,,True
Eli Manning,,,,,,,True
Archie Manning   Jim Madsen,,,,,,,False
Susan Wiggs,,,,Romance_novel,,,True
David Marquez,,,,,,,True
Matthew Berry,1969-12-29,United States,,,,,True
Kurt Andersen,,,,,,,False
Madeleine Albright,,,,,,,False
Bill Woodward,,,,,,,False
Suzy Favor Hamilton,,,,,,,False
Sarah Tomlinson,,,,,,,False
Julie Garwood,,United States,,,,,True
Robert H. Lustig,,United States,,,,,True
Lauren Groff,1978-07-23,,,,,,True
Barry Eisler,,United States,,Thriller_(genre),,,True
Bob Woodward,1943-03-26,United States,,,,,True
Tony Moore,1947-09-04,North Yorkshire,2017-07-07,,,,True
Matt Fraction,,,,,,,True
Priscilla Shirer,1974-12-31,United States,,,,,True
David Lawrence,1959-05-05,,2017-03-20,,,,True
Jim Ottaviani,,,,,,,False
Leland Myrick,,,,,,,False
Aly Raisman,1994-05-25,,,,,,True
Candice Fox,,Australia,,,,,True
F. L. Fowler,,,,,,,False
John Connolly,,,,,,,True
Tim Malloy,,,,,,,False
Carlos Pacheco,1957-06-08,Brazil,,,,,True
Pauline W. Chen,,,,,,,False
Boyd Morrison,,,,Thriller_novel,,,True
Alexa Von Tobel,,,,,,,False
Kennedy Odede,,,,,,,True
Jessica Posner,,,,,,,False
Mitch Albom,1958-05-23,United States,,Fiction; Non-fiction,,,True
Dion Leonard,,,,,,,False
with Craig Borlase,,,,,,,False
Michelle Knight,,,,,,,False
Michelle Burford Weinstein,,,,,,,False
Adam Leitman Bailey,,,,,,,False
Lindsay Mattick,,,,,,,False
E. Annie Proulx,,,,,,,False
Karen Finerman,1965-02-25,,,,,,True
Michael Wolff,,,,,,,True
Charles M. Blow,1970-08-11,United States,,,,,True
Jeaniene Frost,1974-06-13,,,Fantasy; Romance_novel; Science_fiction,,,True
Sarah Addison Allen,,,,,,,True
Emily Raymond,,,,,,,False
Kate Andersen Brower,,,,,,,False
Sarah Wilson,1974-01-08,,,,,,True
Ryan,,,,,,,True
Josh Shook,,,,,,,False
Lynda Mullaly Hunt,,,,,,,False
Sheri Fink,,,,,,,False
Clint Hill,1978-10-19,United Kingdom,,,,,True
Lisa McCubbin,,,,,,,False
Rachael Lippincott,1994-12-05,United States,,,,,True
Mikki Daughtry,,,,,,,False
Tobias Iaconis,,,,,,,True
Scott Cawthon,1978-06-04,United States,,,,,True
Kira Breed-Wrisley,,,,,,,False
Renée Ahdieh,,,,,,,True
Cinda Williams Chima,,,,,,,False
Joshua Zeitz,,,,,,,False
Daniel Burrus,,,,,,,True
John David Mann,,,,,,,False
Ethan Van Sciver,,,,,,,True
Francis Manapul,,,,,,,False
Andy Kubert,,,,,,,False
Lara Spencer,,,,,,,True
Barbara Kingsolver,1955-04-08,United States,,,,,True
Shuzo Oshimi,,,,,,,False
Keith O'Brien,,,,,,,False
Daniel Goleman,1946-03-07,,,,,,True
Holly Black,1971-11-10,United States,,Children's_literature; Fantasy; Horror_fiction; Short_stories; Young_adult_literature,,,True
Mehmet Oz,1960-06-11,United States,,,,,True
Ted Spiker,,,,,,,False
Melissa Hartwig,,,,,,,False
Yuto Tsukuda,,,,,,,False
Shun Saeki,,,,,,,False
Yuki Morisaki,1979-12-29,,,,,,True
Oprah Winfrey,,,,,,,True
Ntozake Shange,1948-10-18,United States,2018-10-27,,,,True
Bud Selig,1934-07-30,United States,,,,,True
Phil Rogers,1971-04-24,Australia,,,,,True
Jen Hatmaker,,,,,,,True
Les Gold,1950-06-20,United States,,,,,True
Christopher Emdin,,,,,,,False
Abbi Glines,1977-04-16,United States,,New-adult_fiction,,,True
Sara Wolf,,,,,,,False
Pintip Dunn,,,,,,,False
Chiquis Rivera,1985-06-26,,,,,,True
Gene Stone,1944-01-16,,2009-03-01,,,,True
James Wesley Rawles,,United States,,,,,True
Cokie Roberts,,,,,,,False
Mark Schultz,,,,,,,True
David Thomas,1963-01-26,Norfolk,,,,,True
Terry Francona,1959-04-22,,,,,,True
Dan Shaughnessy,1953-07-20,United States,,,,,True
Jon Scieszka,1954-09-08,,,,,,True
Aaron Franklin,,,,,,,False
